Source Name	Material Type	Characteristics[CellType]	Characteristics[Organism]	Characteristics[Sex]	Protocol REF	Protocol REF	Parameter Value[Compound]	Term Source REF	Term Accession Number	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Material Type	Label	Protocol REF	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[Compound]	Term Source REF	Term Accession Number	Factor Value[DoseLevel]	Factor Value[TimeOfCollection]	Unit[TimeUnit]
5036011LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Control	0	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5036011LRA	P-MTAB-23069	5036011LRA	synthetic_RNA	biotin	P-MTAB-23070	3017078020	A-AFFY-43	003017078020.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	2	hour
5036012LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Control	0	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5036012LRA	P-MTAB-23069	5036012LRA	synthetic_RNA	biotin	P-MTAB-23070	3017078021	A-AFFY-43	003017078021.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	2	hour
5036021LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Control	0	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5036021LRA	P-MTAB-23069	5036021LRA	synthetic_RNA	biotin	P-MTAB-23070	3017078028	A-AFFY-43	003017078028.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	8	hour
5036022LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Control	0	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5036022LRA	P-MTAB-23069	5036022LRA	synthetic_RNA	biotin	P-MTAB-23070	3017078029	A-AFFY-43	003017078029.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	8	hour
5036031LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Control	0	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5036031LRA	P-MTAB-23069	5036031LRA	synthetic_RNA	biotin	P-MTAB-23070	3017079019	A-AFFY-43	003017079019.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	24	hour
5036032LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Control	0	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5036032LRA	P-MTAB-23069	5036032LRA	synthetic_RNA	biotin	P-MTAB-23070	3017079020	A-AFFY-43	003017079020.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	24	hour
5036041LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Low	8	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5036041LRA	P-MTAB-23069	5036041LRA	synthetic_RNA	biotin	P-MTAB-23070	3017078022	A-AFFY-43	003017078022.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	2	hour
5036042LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Low	8	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5036042LRA	P-MTAB-23069	5036042LRA	synthetic_RNA	biotin	P-MTAB-23070	3017078023	A-AFFY-43	003017078023.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	2	hour
5036051LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Low	8	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5036051LRA	P-MTAB-23069	5036051LRA	synthetic_RNA	biotin	P-MTAB-23070	3017078030	A-AFFY-43	003017078030.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	8	hour
5036052LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Low	8	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5036052LRA	P-MTAB-23069	5036052LRA	synthetic_RNA	biotin	P-MTAB-23070	3017079014	A-AFFY-43	003017079014.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	8	hour
