Source Name	Material Type	Characteristics[Organism]	Characteristics[StrainOrLine]	Characteristics[Sex]	Characteristics[Age]	Unit[TimeUnit]	Protocol REF	Protocol REF	Parameter Value[Compound]	Term Source REF	Term Accession Number	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[DeliveryMethod]	Parameter Value[TimeOfSacrifice]	Unit[TimeUnit]	Protocol REF	Sample Name	Material Type	Characteristics[OrganismPart]	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Material Type	Label	Protocol REF	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[Compound]	Term Source REF	Term Accession Number	Factor Value[DoseLevel]	Factor Value[TimeOfSacrifice]	Unit[TimeUnit]	Factor Value[OrganismPart]
181012	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-22986	P-MTAB-22987	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	3	hour	P-MTAB-22988	0181012LRB	organism_part	liver	P-MTAB-22989	0181012LRB	P-MTAB-22990	0181012LRB	synthetic_RNA	biotin	P-MTAB-22991	3017687029	A-AFFY-43	003017687029.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	3	hour	liver
181014	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-22986	P-MTAB-22987	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	3	hour	P-MTAB-22988	0181014LRB	organism_part	liver	P-MTAB-22989	0181014LRB	P-MTAB-22990	0181014LRB	synthetic_RNA	biotin	P-MTAB-22991	3017687030	A-AFFY-43	003017687030.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	3	hour	liver
181015	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-22986	P-MTAB-22987	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	3	hour	P-MTAB-22988	0181015LRB	organism_part	liver	P-MTAB-22989	0181015LRB	P-MTAB-22990	0181015LRB	synthetic_RNA	biotin	P-MTAB-22991	3017688001	A-AFFY-43	003017688001.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	3	hour	liver
181021	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-22986	P-MTAB-22987	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	6	hour	P-MTAB-22988	0181021LRB	organism_part	liver	P-MTAB-22989	0181021LRB	P-MTAB-22990	0181021LRB	synthetic_RNA	biotin	P-MTAB-22991	3017688011	A-AFFY-43	003017688011.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	6	hour	liver
181022	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-22986	P-MTAB-22987	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	6	hour	P-MTAB-22988	0181022LRB	organism_part	liver	P-MTAB-22989	0181022LRB	P-MTAB-22990	0181022LRB	synthetic_RNA	biotin	P-MTAB-22991	3017688012	A-AFFY-43	003017688012.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	6	hour	liver
181024	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-22986	P-MTAB-22987	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	6	hour	P-MTAB-22988	0181024LRB	organism_part	liver	P-MTAB-22989	0181024LRB	P-MTAB-22990	0181024LRB	synthetic_RNA	biotin	P-MTAB-22991	3017688013	A-AFFY-43	003017688013.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	6	hour	liver
181032	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-22986	P-MTAB-22987	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	9	hour	P-MTAB-22988	0181032LRB	organism_part	liver	P-MTAB-22989	0181032LRB	P-MTAB-22990	0181032LRB	synthetic_RNA	biotin	P-MTAB-22991	3017689001	A-AFFY-43	003017689001.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	9	hour	liver
181033	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-22986	P-MTAB-22987	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	9	hour	P-MTAB-22988	0181033LRB	organism_part	liver	P-MTAB-22989	0181033LRB	P-MTAB-22990	0181033LRB	synthetic_RNA	biotin	P-MTAB-22991	3017689002	A-AFFY-43	003017689002.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	9	hour	liver
181035	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-22986	P-MTAB-22987	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	9	hour	P-MTAB-22988	0181035LRB	organism_part	liver	P-MTAB-22989	0181035LRB	P-MTAB-22990	0181035LRB	synthetic_RNA	biotin	P-MTAB-22991	3017689003	A-AFFY-43	003017689003.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	9	hour	liver
181041	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-22986	P-MTAB-22987	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	24	hour	P-MTAB-22988	0181041LRC	organism_part	liver	P-MTAB-22989	0181041LRC	P-MTAB-22990	0181041LRC	synthetic_RNA	biotin	P-MTAB-22991	3017689013	A-AFFY-43	003017689013.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	24	hour	liver
