Source Name	Material Type	Characteristics[Organism]	Characteristics[StrainOrLine]	Characteristics[Sex]	Characteristics[Age]	Unit[TimeUnit]	Protocol REF	Protocol REF	Parameter Value[Compound]	Term Source REF	Term Accession Number	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[DeliveryMethod]	Parameter Value[TimeOfSacrifice]	Unit[TimeUnit]	Protocol REF	Sample Name	Material Type	Characteristics[OrganismPart]	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Material Type	Label	Protocol REF	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[Compound]	Term Source REF	Term Accession Number	Factor Value[DoseLevel]	Factor Value[TimeOfSacrifice]	Unit[TimeUnit]	Factor Value[OrganismPart]
182011	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	4	day	P-MTAB-23028	0182011LRB	organism_part	liver	P-MTAB-23029	0182011LRB	P-MTAB-23030	0182011LRB	synthetic_RNA	biotin	P-MTAB-23031	3017709004	A-AFFY-43	003017709004.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	4	day	liver
182014	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	4	day	P-MTAB-23028	0182014LRB	organism_part	liver	P-MTAB-23029	0182014LRB	P-MTAB-23030	0182014LRB	synthetic_RNA	biotin	P-MTAB-23031	3017709005	A-AFFY-43	003017709005.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	4	day	liver
182015	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	4	day	P-MTAB-23028	0182015LRC	organism_part	liver	P-MTAB-23029	0182015LRC	P-MTAB-23030	0182015LRC	synthetic_RNA	biotin	P-MTAB-23031	3017709006	A-AFFY-43	003017709006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	4	day	liver
182021	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	8	day	P-MTAB-23028	0182021LRC	organism_part	liver	P-MTAB-23029	0182021LRC	P-MTAB-23030	0182021LRC	synthetic_RNA	biotin	P-MTAB-23031	3017709016	A-AFFY-43	003017709016.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	8	day	liver
182022	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	8	day	P-MTAB-23028	0182022LRB	organism_part	liver	P-MTAB-23029	0182022LRB	P-MTAB-23030	0182022LRB	synthetic_RNA	biotin	P-MTAB-23031	3017709017	A-AFFY-43	003017709017.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	8	day	liver
182025	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	8	day	P-MTAB-23028	0182025LRB	organism_part	liver	P-MTAB-23029	0182025LRB	P-MTAB-23030	0182025LRB	synthetic_RNA	biotin	P-MTAB-23031	3017709018	A-AFFY-43	003017709018.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	8	day	liver
182031	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	15	day	P-MTAB-23028	0182031LRB	organism_part	liver	P-MTAB-23029	0182031LRB	P-MTAB-23030	0182031LRB	synthetic_RNA	biotin	P-MTAB-23031	3017707019	A-AFFY-43	003017707019.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	15	day	liver
182032	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	15	day	P-MTAB-23028	0182032LRB	organism_part	liver	P-MTAB-23029	0182032LRB	P-MTAB-23030	0182032LRB	synthetic_RNA	biotin	P-MTAB-23031	3017707020	A-AFFY-43	003017707020.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	15	day	liver
182034	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	15	day	P-MTAB-23028	0182034LRB	organism_part	liver	P-MTAB-23029	0182034LRB	P-MTAB-23030	0182034LRB	synthetic_RNA	biotin	P-MTAB-23031	3017707021	A-AFFY-43	003017707021.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	15	day	liver
182041	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	29	day	P-MTAB-23028	0182041LRB	organism_part	liver	P-MTAB-23029	0182041LRB	P-MTAB-23030	0182041LRB	synthetic_RNA	biotin	P-MTAB-23031	3017708001	A-AFFY-43	003017708001.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	29	day	liver
