Source Name	Material Type	Characteristics[CellType]	Characteristics[Organism]	Characteristics[Sex]	Protocol REF	Protocol REF	Parameter Value[Compound]	Term Source REF	Term Accession Number	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Material Type	Label	Protocol REF	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[Compound]	Term Source REF	Term Accession Number	Factor Value[DoseLevel]	Factor Value[TimeOfCollection]	Unit[TimeUnit]
5095011LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Control	0	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5095011LRA	P-MTAB-23090	5095011LRA	synthetic_RNA	biotin	P-MTAB-23091	3016023025	A-AFFY-44	003016023025.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	2	hour
5095012LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Control	0	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5095012LRA	P-MTAB-23090	5095012LRA	synthetic_RNA	biotin	P-MTAB-23091	3016023026	A-AFFY-44	003016023026.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	2	hour
5095021LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Control	0	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5095021LRA	P-MTAB-23090	5095021LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024003	A-AFFY-44	003016024003.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	8	hour
5095022LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Control	0	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5095022LRA	P-MTAB-23090	5095022LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024004	A-AFFY-44	003016024004.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	8	hour
5095031LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Control	0	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5095031LRA	P-MTAB-23090	5095031LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024011	A-AFFY-44	003016024011.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	24	hour
5095032LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Control	0	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5095032LRA	P-MTAB-23090	5095032LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024012	A-AFFY-44	003016024012.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	24	hour
5095041LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Low	6	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5095041LRA	P-MTAB-23090	5095041LRA	synthetic_RNA	biotin	P-MTAB-23091	3016023027	A-AFFY-44	003016023027.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	2	hour
5095042LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Low	6	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5095042LRA	P-MTAB-23090	5095042LRA	synthetic_RNA	biotin	P-MTAB-23091	3016023028	A-AFFY-44	003016023028.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	2	hour
5095051LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Low	6	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5095051LRA	P-MTAB-23090	5095051LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024005	A-AFFY-44	003016024005.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	8	hour
5095052LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Low	6	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5095052LRA	P-MTAB-23090	5095052LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024006	A-AFFY-44	003016024006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	8	hour
